person,line
mr. geller," everyone thinks they know me. everyone says 'jack geller, so predictable'. maybe after i'm gone, they'll say 'buried at sea! huh!'."
monica, that's probably what they'll say.
mr. geller, i'd like that.
chandler," hey, gorgeous."
shelley," (sheepish) hey. look, i'm sorry about yesterday, i, um-"
chandler," no, nono, don't- don't worry about it. believe me, apparently other people have made the same mistake."
shelley, oh! okay! phew! 
chandler," so, uh... what do you think it is about me?"
shelley," i dunno, uh... you just have a-a..."
chandler," ...quality, right, great."
shelley," y'know, it's a shame, because you and lowell would've made a great couple."
chandler," lowell? financial services' lowell, that's who you saw me with?"
shelley, what? he's cute!
chandler," well, yeah... 's'no brian in payroll."
shelley, is brian...?
chandler," no! uh, i d'know! the point is, if you were gonna set me up with someone, i'd like to think you'd set me up with someone like him."
shelley," well, i think brian's a little out of your league."
chandler, excuse me? you don't think i could get a brian? because i could get a brian. believe you me. ...i'm really not.
ross, (holding a dress out from inside the closet) this one?
aunt lillian, no.
ross," i have shown you everything we have. unless you want your mother to spend eternity in a lemon yellow pant-suit, go with the burgundy."
aunt lillian," you know, whatever we pick, she would've told us it's the wrong one."
mrs. geller, you're right. we'll go with the burgundy.
ross, oh! a fine choice. i'm coming out. (starts to climb over the furniture)
aunt lillian, wait! we need shoes!
ross," okay. um, how about these? (holds out a pair)"
mrs. geller, that's really a day shoe.
ross, and where she's going everyone else'll be dressier?
aunt lillian, could we see something in a slimmer heel?
ross," (forages around) okay, i have nothing in an evening shoe in the burgundy. i can show you something in a silver that may work."
aunt lillian," no, it really should be burgundy."
mrs. geller, mm. unless we go with a different dress?
ross," no! nonono, wait a sec. i may have something in the back."
ross, oh my god..
mrs. geller," is everything all right, dear?"
ross," yeah, just... just nana stuff."
ross," (entering) how we doing, you guys ready?"
monica, mom already called this morning to remind me not to wear my hair up. did you know my ears are not my best feature?
ross, some days it's all i can think about. 
phoebe," (entering) hi, sorry i'm late, i couldn't find my bearings."
rachel," oh, you-you mean your earrings?"
phoebe, what'd i say?
rachel, (sticking her foot out) hm-m.
monica, are these the shoes?
rachel, yes. paolo sent them from italy.
ross," what, we-uh- we don't have shoes here, or...?"
joey, (entering with chandler) morning. we ready to go?
chandler," well, don't we look nice all dressed up?...it's stuff like that, isn't it?"
monica, it was a really beautiful service.
mrs. geller," it really was. oh, c'mere, sweetheart. (hugs her) y'know, i think it might be time for you to start using night cream."
joey, what?
chandler," nothing, just your overcoat sounds remarkably like brent mussberger."
joey," check it out, giants-cowboys. (he has a pocket tv)"
chandler, you're watching a football game at a funeral?
joey," no, it's the pre-game. i'm gonna watch it at the reception."
chandler," you are a frightening, frightening man."
rachel, oh no! my new paolo shoes!
ross," oh, i hope they're not ruined."
phoebe," god, what a great day. ...what? weather-wise!"
ross," i know, uh, the air, the-the trees... even though nana's gone there's, there's something almost, uh- i dunno, almost life-aff- (not looking where he is going he falls into an open grave)"
all, god! ross!
ross, i'm fine. just-just... having my worst fear realised...
phoebe," okay, don't worry, i'm just checking to see if the muscle's in spasm...huh."
ross," what, what is it?"
phoebe, you missed a belt loop. 
ross, oh! no-n-
phoebe," okay, it's in spasm."
mrs. geller," here, sweetie, here. i took these when i had my golfing accident. (hands ross a bottle of pills. then turns to monica and pats her hair over her ears)"
chandler," oh, no-"
andrea," sorry- hi, i'm dorothy's daughter."
chandler," hi, i'm chandler, and i have no idea who dorothy is."
phoebe," hey, look who's up! how do you feel?"
ross," i feel great. i feel- great, i fleel great."
monica," wow, those pills really worked, huh?"
ross," not the first two, but the second two- woooo! ...i love you guys. you guys are the greatest. i love my sister (kisses monica), i love pheebs... (hugs her)"
phoebe, ooh! that's so nice...
ross, ...chandler! 
chandler, hey.
ross," (hugs him) and listen, man, if you wanna be gay, be gay. doesn't matter to me."
andrea, (turns to a friend) you were right. (they walk off and leave chandler.)
ross, rachel. rachel rachel. (sits down beside her) i love you the most.
rachel," (humouring him) oh, well you know who i love the most?"
ross, no.
rachel, you!
ross, oh.. you don't get it! (passes out and slumps across her)
mr. geller, whaddya got there?
joey," (hides the tv, but he still has an earphone) just a, uh... hearing disability."
mr. geller, what's the score?
joey, seventeen-fourteen giants... three minutes to go in the third.
mr. geller, beautiful! (turns to watch with him)
rachel," (still trapped under ross) pheebs, could you maybe hand me a cracker?"
mrs. geller, (to monica) your grandmother would have hated this.
monica," well, sure, what with it being her funeral and all."
mrs. geller," no, i'd be hearing about 'why didn't i get the honey-glazed ham?', i didn't spend enough on flowers, and if i spent more she'd be saying 'why are you wasting your money? i don't need flowers, i'm dead'."
monica, that sounds like nana.
mrs. geller, do you know what it's like to grow up with someone who is critical of every single thing you say?
monica, ...i can imagine.
mrs. geller," i'm telling you, it's a wonder your mother turned out to be the positive, life-affirming person that she is."
monica," that is a wonder. so tell me something, mom. if you had to do it all over again, i mean, if she was here right now, would you tell her?"
mrs. geller, tell her what?
monica," how she drove you crazy, picking on every little detail, like your hair... for example."
mrs. geller, i'm not sure i know what you're getting at.
monica, do you think things would have been better if you'd just told her the truth?
mrs. geller, ...no. i think some things are better left unsaid. i think it's nicer when people just get along. 
monica, huh.
mrs. geller," more wine, dear?"
monica," oh, i think so."
mrs. geller," (reaches out to fiddle with monica's hair again, and realises) those earrings look really lovely on you."
monica, thank you. they're yours.
mrs. geller, actually they were nana's.
mr. geller, now i'm depressed! ...(to everyone) even more than i was.
rachel," hey, who's this little naked guy?"
ross, that little naked guy would be me.
rachel," aww, look at the little thing."
ross," yes, yes, fine, that is my penis. can we be grown-ups now?"
chandler, who are those people?
ross, got me.
monica," oh, that's nana, right there in the middle. (reads the back) 'me and the gang at java joe's'. "
rachel," wow, monica, you look just like your grandmother. how old was she there?"
monica," let's see, 1939... yeah, 24, 25?"
ross, looks like a fun gang. (they all look at each other and smile)
joey," ooh, look-look-look-look-look! i got monica naked!"
ross," (looking) nono, that would be me again. i'm, uh, just trying something."
chandler," hey, lowell."
lowell," hey, chandler."
chandler, so how's it going there in financial services?
lowell, it's like mardi gras without the paper mache heads. how 'bout you?
chandler," good, good. listen, heh, i dunno what shelley told you about me, but, uh... i'm not."
lowell, i know. that's what i told her.
chandler, really.
lowell, yeah.
chandler, so- you can tell?
lowell," pretty much, most of the time. we have a kind of... radar."
chandler," so you don't think i have a, a quality?"
lowell," speaking for my people, i'd have to say no. by the way, your friend brian from payroll, he is."
chandler, he is?
lowell," yup, and waaay out of your league. (exits)"
chandler," out of my league. i could get a brian. (brian enters behind him) if i wanted to get a brian, i could get a brian. (sees him) hey, brian."
rachel," terry, i, i, i know that i haven't worked here very long, but i was wondering, do you think it would be possible if i got a $100 advance in my salary?"
terry, an advance?
rachel," it's so that i can spend thanksgiving with my family. see, every year we go skiing in vail, and normally my father pays for my ticket, but i sort of started the whole independence thing, you know, which is actually why i took this job."
terry," rachel, rachel, sweetheart. you're a terrible, terrible waitress. really, really awful."
rachel," ok, i, i hear what you're sayin'. i'm with you. um, but i, but i'm trying really hard. and i think i'm doing better. i really do. does anybody need coffee? (everyone in the place raises their hand) oh, look at that."
rachel," excuse me, sir. hi, you come in here all time. i was just wondering, do you think there's a possibility that you could give me an advance on my tips?"
guy, huh?
rachel," ok, ok, that's fine. fine. hey, i'm sorry about that spill before. (picks up the tip he leaves) only $98.50 to go. "
monica," hey. ross, did you know mom and dad are going to puerto rico for thanksgiving?"
ross," no, they're not."
monica," yes, they are. the blymens invited them."
ross, you're wrong.
monica, i am not wrong.
ross, you're wrong.
monica," no, i just talked to them."
ross," (getting up, upset) i'm calling mom."
joey," hey, hey."
chandler, hey.
phoebe, hey.
chandler, and this from the cry-for-help department. are you wearing makeup?
joey," yes, i am. as of today, i am officially joey tribbiani, actor slash model."
chandler," that's so funny, 'cause i was thinking you look more like joey tribbiani, man slash woman."
phoebe, what were you modeling for?
joey, you know those posters for the city free clinic?
monica," oh, wow, so you're gonna be one of those ""healthy, healthy, healthy guys""?"
phoebe," you know, the asthma guy was really cute."
chandler, do you know which one you're gonna be?
joey," no, but i hear lyme disease is open, so... (crosses fingers) "
chandler," good luck, man. i hope you get it."
joey, thanks.
ross," (to monica) well, you were right. how can they do this to us, huh? it's thanksgiving. "
monica," ok, i'll tell you what. how about i cook dinner at my place? i'll make it just like mom's."
ross, will you make the mashed potatoes with the lumps?
monica," you know, they're not actually supposed to have... (ross looks at her sheepishly) i'll work on the lumps. joey, you're going home, right?"
joey, yeah.
monica," and i assume, chandler, you are still boycotting all the pilgrim holidays."
chandler," yes, every single one of them."
monica," phoebe, you're gonna be with your grandma?"
phoebe," yes, and her boyfriend. but we're celebrating thanksgiving in december 'cause he is lunar."
monica," so you're free thursday, then."
phoebe," yeah. oh, can i come?"
monica," yeah. rach, are you thinking you're gonna make it to vail?"
rachel," absolutely. shoop, shoop, shoop. only a hundred and two dollars to go."
chandler, i thought it was $98.50.
rachel," yeah, well it was. i, i broke a cup."
ross," well, i'm off to carol's."
phoebe," ooh, ooh! why don't we invite her?"
ross," (mimicking) ooh, ooh. because she's my ex-wife, and will probably want to bring her, ooh, ooh, lesbian life partner."
ross," hi, is uh, is carol here?"
susan," no, she's at a faculty meeting."
ross," oh, i uh, just came by to pick up my skull. well, not mine, but...susan: come in."
ross," thanks. yeah, carol borrowed it for a class, and i have to get it back to the museum."
susan, what's it look like?
ross, kinda like a big face without skin.
susan," yes, i'm familiar with the concept. we can just look for it."
ross," ok. (browsing the apartment) wow, you guys sure have a lot of books about bein' a lesbian."
susan," well, you know, you have to take a course. otherwise, they don't let you do it. "
ross," (picking up a book) hey, hey, yertle the turtle. a classic."
susan," actually, i'm reading it to the baby."
ross," the uh, the baby that hasn't been born yet? wouldn't that mean you're... crazy?"
susan," what, you don't think they can hear sounds in there?"
ross," you're not serious, i mean, you really... you really talk to it?"
susan," yeah, all the time. i want the baby to know my voice."
ross," do you uh, do you talk about me?"
susan," yeah, yeah, all the time."
ross, really?
susan," but um, we just refer to you as bobo the sperm guy."
ross," look, if she's talking to it, i just think that i should get some belly time too. not that i believe any of this."
phoebe," oh, i believe it. i think the baby can totally hear everything. i can show you. look, this will seem a little weird, but you put your head inside this turkey, and then we'll all talk, and you'll hear everything we say."
chandler," i'd just like to say that i'm totally behind this experiment. in fact, i'd very much like to butter your head."
monica," hey, rach, did you make your money?"
rachel," no, not even close. forget vail, forget seeing my family, forget shoop, shoop, shoop."
monica," rach, here's your mail."
rachel," thanks, you can just put it on the table."
monica," (insistently) no, here's your mail."
rachel," thanks, you can just put it on the table."
monica, (gives her an envelope) would you just open it?
rachel," oh my god, oh, you guys are great."
monica, we all chipped in.
joey, (to monica) we did?
monica, (to joey) you owe me 20 bucks.
rachel, thank you. thank you so much!
monica," (hands chandler a bag) chandler, here you go, got your traditional thanksgiving feast, you got your tomato soup, your grilled cheese fixin's, and your family size bag of funyuns."
rachel," wait, wait, chandler, this is what you're havin' for thanksgiving dinner? what, what, what is it with you and this holiday?"
chandler," all right, i'm nine years old."
ross," oh, i hate this story."
chandler," we just finished this magnificent thanksgiving dinner. i have--and i remember this part vividly--a mouthful of pumpkin pie, and this is the moment my parents choose to tell me they're getting divorced."
rachel, oh my god.
chandler, yes. it's very difficult to appreciate a thanksgiving dinner once you've seen it in reverse.
joey," uh, hi. we uh, we used to work together."
girl, we did?
joey," yeah, at macy's. you were the obsession girl, right? i was the aramis guy. (pretends to spray cologne) aramis? aramis? "
girl," yeah, right."
joey, i gotta tell you. you're the best in the business.
girl, get out.
joey," i'm serious. you're amazing. you know when to spritz, when to lay back."
girl, really? you don't know what that means to me.
joey," ooh, you smell great tonight. what're you wearing?"
girl, (provocatively) nothing.
joey," listen, uh, you wanna go get a drink or something?"
girl," yeah. (she gets up, notices something behind joey) oh."
joey, what's wrong?
girl," i just remembered, i have to do something."
joey, oh. what?
girl," um, leave."
joey," wait, wait, wait!"
joey, so i guess you all saw it.
rachel, saw what?
phoebe," no, we were just laughing. you know, how laughter can be infectious."
joey, set another place for thanksgiving. my entire family thinks i have vd.
chandler," tonight, on a very special blossom."
monica," mmm, looking good. ok, cider's mulling, turkey's turking, yams are yamming. (notices ross is depressed) what?"
ross, i don't know. it's just not the same without mom in the kitchen.
monica," all right, that's it. you know what? just get out of my way and stop moping."
ross, that's closer.
rachel," i got the tickets! i got the tickets! five hours from now, shoop, shoop, shoop."
chandler," oh, you must stop shooping."
rachel," ok, i'm gonna get my stuff."
joey," chandler, will you just come in already?"
chandler," no, i prefer to keep a safe distance from all this merriment."
phoebe," look out, incoming pumpkin pie!"
chandler," ok, we all laughed when you did it with the stuffing, but that's not funny anymore."
joey," hey, monica, i got a question. i don't see any tater tots."
monica, that's not a question.
joey," but my mom always makes them. it's like a tradition. you get a little piece of turkey on your fork, a little cranberry sauce, and a tot! it's bad enough i can't be with my family because of my disease."
monica," all right, fine. tonight's potatoes will be both mashed with lumps, and in the form of tots."
ross," ok, i'm off to talk to my unborn child. "
monica, ah!
ross," ok, mom never hit."
phoebe," (stirring pot) ok, all done."
monica," what, phoebe, did you whip the potatoes? ross needs lumps!"
phoebe," oh, i'm sorry, oh, i just, i thought we could have them whipped and then add some peas and onions."
monica, why would we do that?
phoebe," well, 'cause then they'd be like my mom used to make them, you know, before she died."
monica," ok, three kinds of potatoes coming up."
rachel," ok, good-bye you guys. thanks for everything. (she starts to leave, and hits everyone with her skis) oh, sorry! oh, sorry!"
chandler, the most unbelievable thing has happened. underdog has just gotten away.
joey, the balloon?
chandler," no, no, the actual cartoon character. of course the balloon. it's all over the news. right before he reached macy's, he broke free and was spotted flying over washington square park. i'm goin' to the roof, who's with me?"
rachel," i can't, i gotta go."
chandler, come on. an 80-foot inflatable dog let loose over the city. how often does that happen?
phoebe, almost never.
monica, got the keys? or got the keys!
rachel, ok.
carol, anytime you're ready.
ross," ok, ok, here we go. (he crouches down near her stomach) ok, where am i talking to, here? i mean, uh, well, there is one way that seems to offer a certain acoustical advantage, but..."
carol, just aim for the bump.
ross," ok, ok, ok, ok, here goes. you know, i, you know, can't do this. uh, this is too weird. i feel stupid."
carol," so don't do it, it's fine. you don't have to do it just because susan does it."
ross," (quickly talking) hello, baby. hello, hello."
rachel, i loved the moment when you first saw the giant dog shadow all over the park.
phoebe," yeah, but did they have to shoot him down? i mean, that was just mean."
monica," ok, right about now the turkey should be crispy on the outside, juicy on the inside. why are we standing here?"
rachel, we're waiting for you to open the door. you got the keys.
monica, no i don't.
rachel," yes, you do. when we left, you said, ""got the keys."""
monica," no i didn't. i asked, ""got the ke-eys?"""
rachel," no, no, no, you said, ""got the keys""."
chandler, do either of you have the keys?
monica, (panicked) the oven is on.
rachel," oh, i gotta get my ticket!"
joey," wait, wait, we have a copy of your key."
monica," well then get it, get it!"
joey, that tone will not make me go any faster.
monica, (angry) joey!
joey, that one will. 
ross," and everyone's telling me, you gotta pick a major, you gotta pick a major. so, on a dare, i picked paleontology. and you have no idea what i'm saying, because, let's face it, you're a fetus. you're just happy you don't have gills anymore."
carol," look, you don't have to talk to it. you can sing to it if you want."
ross," oh, please. i am not singing to your stomach, ok?"
susan," hi, how's it goin?"
ross," shh! (singing) here we come, walkin' down the street, get the funniest looks from, everyone we meet. hey, hey! (to carol) hey, uh, did you just feel that?"
carol, i did.
ross," does it always, uh--?"
carol," no, no that was the first."
susan, keep singing! keep singing!
ross," (singing) hey, hey, you're my baby, and i can't wait to meet you. when you come out i'll buy you a bagel, and then we'll go to the zoo."
susan, i felt it!
ross," (singin) hey, hey, i'm your daddy. i'm the one without any breasts."
joey," nope, not that one."
monica, can you go any faster with that?
joey," hey, i got one keyhole and about a zillion keys. you do the math."
monica, why do you guys have so many keys in there anyway?
chandler, (sarcastic) for an emergency just like this.
rachel," (grabs chandler by the shirt) all right, listen, smirky. if it wasn't for you and your stupid balloon, i would be on a plane watching a woman do this (makes a gesture like a stewardess pointing out exits) right now. but i'm not."
monica, i swear you said you had the keys.
rachel," no, i didn't. i wouldn't say i had the keys unless i had the keys, and i obviously didn't have the keys."
phoebe," ooh, ok, that's it. enough with the keys. no one say keys."
monica, why would i have the keys?
rachel, aside from the fact that you said you had them?
monica, but i didn't.
rachel," well, you should have."
monica, why?
rachel, because!
monica, why?
rachel, because!
monica," why? because everything is my responsibility? isn't it enough that i'm making thanksgiving dinner for everyone? you know, everyone wants a different kind of potatoes, so i'm making different kinds of potatoes. does anybody care what kind of potatoes i want? nooooo, no, no! (starting to cry) just as long as phoebe gets her peas and onions, and mario gets his tots, and it's my first thanksgiving, and it's all burned, and, and i... i..."
chandler," ok, monica, only dogs can hear you now, so, look, the door's open. here we go."
monica," well, the turkey's burnt. (checking pots) potatoes are ruined, potatoes are ruined, potatoes are ruined."
ross," here we come, walkin' down thethis doesn't smell like mom's."
monica," no, it doesn't, does it? but you wanted lumps, ross? (picks up the pan of badly burnt potatoes) well, here you go, buddy, ya got one."
rachel," oh, god, this is great! the plane is gone, so it looks like i'm stuck here with you guys."
joey," hey, we all had better plans. this was nobody's first choice."
monica," oh, really? so why was i busting my ass to make this delicious thanksgiving dinner?"
joey, you call that delicious? 
monica," stop it, stop it, stop it!"
chandler, now this feels like thanksgiving.
phoebe, ooh. 
rachel, what?
phoebe, ugly naked guy's taking his turkey out of the oven. oh my god. he's not alone. ugly naked guy's having thanksgiving dinner with ugly naked gal.
joey, i've gotta see this. all right ugly naked guy!
monica," ooh, ugly naked dancing!"
phoebe, it's nice that he has someone.
chandler, shall i carve?
rachel, by all means.
chandler," ok, who wants light cheese, and who wants dark cheese?"
ross, i don't even wanna know about the dark cheese.
monica, (holding sandwich) does anybody wanna split this with me?
joey," oh, i will."
phoebe," ooh, you guys have to make a wish."
monica, make a wish?
phoebe," come on, you know, thanksgiving. ooh, you got the bigger half. what'd you wish for?"
joey, the bigger half.
chandler," i'd like to propose a toast. little toast here, ding ding. i know this isn't the kind of thanksgiving that all of you all planned, but for me, this has been really great, you know, i think because it didn't involve divorce or projectile vomiting. anyway, i was just thinking, i mean, if you'd gone to vail, and if you guys'd been with your family, if you didn't have syphilis and stuff, we wouldn't be all together, you know? so i guess what i'm trying to say is that i'm very thankful that all of your thanksgivings sucked."
all, that's so sweet.
ross," and hey, here's to a lousy christmas."
rachel, and a crappy new year.
chandler," here, here!"
ross, guys? there's a somebody i'd like you to meet. 
all, oooh!
monica, w-wait. what is that?
ross, 'that' would be marcel. you wanna say hi?
monica," no, no, i don't."
rachel," oh, he is precious! where did you get him?"
ross, my friend bethel rescued him from some lab.
phoebe, that is so cruel! why? why would a parent name their child bethel?
chandler," hey, that monkey's got a ross on its ass!"
monica," ross, is he gonna live with you, like, in your apartment?"
ross," yeah. i mean, it's been kinda quiet since carol left, so..."
monica, why don't you just get a roommate?
ross," nah, i dunno... i think you reach a certain age, having a roommate is kinda pathe- (realises) ....sorry, that's, that's 'pathet', which is sanskrit for 'really cool way to live'."
phoebe," so you guys, i'm doing all new material tonight. i have twelve new songs about my mother's suicide, and one about a snowman."
chandler, might wanna open with the snowman.
all," hey, joey. hey, buddy."
monica," so, how'd it go?"
joey," ahhhhhh, i didn't get the job."
ross, how could you not get it? you were santa last year.
joey," i dunno. some fat guy's sleeping with the store manager. he's not even jolly, it's all political."
monica, so what are you gonna be?
joey," ah, i'm gonna be one of his helpers. it's just such a slap in the face, y'know?"
rachel," hey, do you guys know what you're doing for new year's? (they all protest and hit her with cushions) gee, what?! what is wrong with new year's?"
chandler," nothing for you, you have paolo. you don't have to face the horrible pressures of this holiday: desperate scramble to find anything with lips just so you can have someone to kiss when the ball drops!! man, i'm talking loud!"
rachel," well, for your information, paolo is gonna be in rome this new year, so i'll be just as pathetic as the rest of you. "
phoebe," yeah, you wish!"
chandler," it's just that i'm sick of being a victim of this dick clark holiday. i say this year, no dates, we make a pact. just the six of us- dinner."
all," yeah, okay. alright."
chandler," y'know, i was hoping for a little more enthusiasm. "
all, woooo! yeah!
rachel," phoebe, you're on."
phoebe," oh, oh, good."
rachel," (into microphone) okay, hi. ladies and gentlemen, back by popular demand, miss phoebe buffay. wooh!"
phoebe," (takes mike) thanks, hi. um, i wanna start with a song that means a lot to me this time of year. (shakes bell as an introduction) (sung:) "
phoebe, (sung) 
phoebe, (sung) 
max," no. no, that's- that's okay."
phoebe," well, c'mon, if it's important enough to discuss while i'm playing, then i assume it's important enough for everyone else to hear!"
chandler," (quietly, to the others) that guy's going home with a note!"
david, noth- i was- i was just saying to my-
phoebe, could you speak up please?
david," (stands up and speaks more loudly) sorry, i wa- i was just saying to my friend that i thought you were the most beautiful woman that i'd ever seen in my- in my life. and then he said that- you said you thought"
max, daryl hannah.
david," daryl hannah was the most beautiful woman that he'd ever seen in his life and i said yeah, i liked her in splash, a lot, but not so much in- in wall street, i thought she had kind of a "
max, hard quality.
david," -hard quality. and uh, while daryl hannah is beautiful in a conventional way, you are luminous with a kind of a delicate grace. then, uh, that-that-that's when you started yelling. (sits down)"
phoebe," okay, we're gonna take a short break. (goes over to their table)"
joey," hey, that guy's going home with more than a note!"
ross," come here, marcel. sit here. (marcel wanders off)"
rachel," pheebs, i can't believe he hasn't kissed you yet. i mean god, by my sixth date with paolo, i mean he had already named both my breasts! ...ooh. did i just share too much?"
ross, just a smidge.
phoebe," david's like, y'know, scientist guy. he's very methodical."
monica, i think it's romantic.
phoebe, me too! oh! did you ever see an officer and a gentleman?
rachel, yeah!
phoebe," well, he's kinda like the guy i went to see that with. except, except he-he's smarter, and gentler, and sweeter... i just- i just wanna be with him all the time. day and night, and night and day... and special occasions... "
chandler," wait a minute, wait a minute, i see where this is going, you're gonna ask him to new year's, aren't you. you're gonna break the pact. she's gonna break the pact."
phoebe," no, no, no, no, no, no. yeah, could i just?"
chandler," yeah, 'cause i already asked janice."
monica, what?!
ross," c'mon, this was a pact! this was your pact! "
chandler," i snapped, okay? i couldn't handle the pressure and i snapped."
monica," yeah, but janice? that-that was like the worst breakup in history!"
chandler," i'm not saying it was a good idea, i'm saying i snapped!"
joey," hi. hi, sorry i'm late."
chandler, too many jokes... must mock joey! 
joey," nice shoes, huh? (he wiggles his foot and the bells tinkle)"
chandler," aah, y'killing me!"
monica, ross! he's playing with my spatulas again!
ross," okay, look, he's not gonna hurt them, right?"
monica, do you always have to bring him here?
ross," i didn't wanna leave him alone. alright? we- we had our first fight this morning. i think it has to do with my working late. i said some things that i didn't mean, and he- he threw some faeces..."
chandler," y'know, if you're gonna work late, i could look in on him for you."
ross," oh, that'd be great! okay, but if you do, make sure it seems like you're there to see him, okay, and you're not like doing it as a favour to me."
chandler," okay, but if he asks, i'm not going to lie."
david," ...but, you can't actually test this theory, because today's particle accelerators are nowhere near powerful enough to simulate these conditions."
phoebe," okay, alright, i have a question, then. "
david, yuh.
phoebe," um, were you planning on kissing me ever?"
david," uh, that's definitely a, uh, valid question. and, uh, the answer would be (writes yes on the board) yes. yes i was. but, see, i wanted it to be this phenomenal kiss that happened at this phenomenal moment, because, well, 'cause it's you."
phoebe, sure.
david," right. but, see, the longer i waited, the more phenomenal the kiss had to be, and now we've reached a place where it's just gotta be one of those things where i just like... sweep everything off the table and throw you down on it. and, uh, i'm not really a, uh, sweeping sorta fella."
phoebe," oh, david, i, i think you are a sweeping sorta fella. i mean, you're a sweeper! ...trapped inside a physicist's body."
david, rrrreally.
phoebe," oh, yeah, oh, i'm sure of it. you should just do it, just sweep and throw me. "
david, ...now? now?
phoebe," oh yeah, right now."
david," okay, okay, okay. (gets ready to sweep, and then picks up a laptop computer) y'know what, this was just really expensive. (puts it down elsewhere. then picks up a microscope) and i'll take- this was a gift. (moves it)"
phoebe," okay, now you're just kinda tidying. "
david," okay, what the hell, what the hell. (sweeps the remaining papers off the desk and grabs phoebe) you want me to actually throw you or you-you wanna just hop?"
phoebe, i can hop. (she hops onto the table)
ross, so tell me something. what does the phrase 'no date pact' mean to you?
monica," i'm sorry, okay. it's just that chandler has somebody, and phoebe has somebody- i thought i'd ask fun bobby."
chandler, fun bobby? your ex-boyfriend fun bobby?
monica, yeah.
joey, you know more than one fun bobby?
chandler, i happen to know a fun bob.
rachel," (brings joey a mug of coffee) okay, here we go..."
joey," ooh ooh ooh ooh, there's no room for milk!"
rachel, (glances at joey and then sips his coffee) there. now there is.
ross," okay, so on our no-date evening, three of you now have dates."
joey," uh, four."
ross, four.
rachel, five.
ross, five. (buries his head in his hands)
rachel, sorry. paolo's catching an earlier flight.
joey," yeah, and i met this really hot single mom at the store. what's an elf to do?"
ross," okay, so i'm gonna be the only one standing there alone when the ball drops?"
rachel," oh, c'mon. we'll have, we'll have a big party, and no-one'll know who's with who."
ross," hey, y'know, this is so not what i needed right now."
monica, what's the matter?
ross," oh, it's-it's marcel. he keeps shutting me out, y'know? he's walking around all the time dragging his hands... "
chandler," that's so weird, i had such a blast with him the other night."
ross, really.
chandler," yeah, we played, we watched tv.. that juggling thing is amazing."
ross," what, uh... what juggling thing?"
chandler, with the balled-up socks? i figured you taught him that.
ross, no.
chandler," y'know, it wasn't that big a deal. he just balled up socks... and a melon..."
max, phoebe. hi. 
phoebe," oh, hi max! hey, do you know everybody?"
max, no. have you seen david?
phoebe," no, no, he hasn't been around."
max," well, if you see him, tell him to pack his bags. we are going to minsk."
phoebe, minsk?
max, minsk. it's in russia.
phoebe, i know where minsk is.
max," we got the grant. three years, all expenses paid."
phoebe," so when, when do you leave?"
max, january first.
phoebe, hello?
david, hey!
phoebe, hi.
david, hi! (kisses her) what-what're you doing here?
phoebe," um, well, max told me about minsk, so (puts on a fake cheery voice) congratulations! this is so exciting!"
max, it'd be even more exciting if we were going.
phoebe," oh, you're not going? (fake disappointed voice) oh, why?"
max," tell her, david. 'i don't wanna go to minsk and work with lifson and yamaguchi and flench, on nonononononono. i wanna stay here and make out with my girlfriend!!' (storms out)"
david," thank you, max. thank you."
phoebe, so-so you're really not going?
david, i don't know. i don't know what i'm gonna do. i just- you decide.
phoebe, oh don't do that.
david, please.
phoebe, oh no no.
david," no, but i'm asking-"
phoebe," oh, but i can't do that-"
david," no, but i can't-"
phoebe," it's your thing, and-"
david, -make the decision-
phoebe," okay, um, stay."
david, stay.
phoebe, stay.
phoebe, getting so good at that! (she hops on)
david, it was max's stuff. (they kiss)
janice," i love this artichoke thing! oh, don't tell me what's in it, the diet starts tomorrow! (laughs her janice laugh)"
chandler, you remember janice.
monica, vividly.
monica, hi.
sandy," hi, i'm sandy."
joey," sandy! hi! c'mon in! (she enters, followed by a young boy and a younger girl)...you brought your kids."
sandy," yeah. that's okay, right?"
ross, par-tay! 
monica, that thing is not coming in here.
ross," 'that thing'? this is how you greet guests at a party? let me ask you something, if i showed up here with my new girlfriend, she wouldn't be welcome in your home?"
monica, i'm guessing your new girlfriend wouldn't urinate on my coffee table.
ross, okay. he was more embarrassed about that than anyone. okay? and for him to have the courage to walk back in here like nothing happened...
monica, alright. just keep him away from me.
ross," thank you. (she walks off) c'mon, marcel, whaddya say you and i do a little mingling? (marcel runs off) alright, i'll, uh... catch up with you later."
monica," oh my gosh! rachel, honey.. are you okay? where-where's paolo?"
rachel, rome. jerk missed his flight.
phoebe, and then... your face is bloated?
rachel," no. okay. i was at the airport, getting into a cab, when this woman- this blonde planet with a pocketbook- starts yelling at me. something about how it was her cab first. and then the next thing i know she just starts- starts pulling me out by my hair! so i'm blowing my attack whistle thingy and three more cabs show up, and as i'm going to get into a cab she tackles me. and i hit my head on the kerb and cut my lip on my whistle...oh...everybody having fun at the party? (to monica) are people eating my dip?"
sandy," y'know, when i saw you at the store last week, it was probably the first time i ever mentally undressed an elf."
joey," wow, that's, uh, dirty."
sandy, yeah.
joey," hey, kids..."
ross," (watching marcel play with phoebe. to chandler) look at him. i'm not saying he has to spend the whole evening with me, but at least check in."
janice," (startles them) there you are! haaah, you got away from me!"
chandler, (imitating) but you found me!
janice," here, ross, take our picture. (hands him a camera and he starts snapping) smile! you're on janice camera!"
